,�..control,country,c_code,region,inc_grp,year,TFP,TFP_wb,TFPgrowth,ghg_serv,ghg_ind,ghg_agr,ghg_agrc,va_ser,va_ind,va_agr,ghg_va_agr,ghg_va_ind,ghg_va_ser,life_expectancy,patents_tot,internet_access,urbanization,popage15_64,ruleoflaw,sch,exports_gdp,imports_gdp,trade.exp.imp.,ed_tc25,fdi_imf,rl_wb2,ROL,innovation_index,education_index,efficiency_index,infrastructure_index,governance_index,pat_wb2,str_agr,str_ind,str_ser,eps,ghg_tot
843,TJK2009,Tajikistan,TJK,Europe & Central Asia,Low income,2009,0.887426257,0.911,0.048,0.6479,2.9345,4.7374,4.7374,2298.192779,1283.62325,1034.752241,0.004578294,0.002286107,0.000281917,68.36,12,10.07,26.518,60.598054,-1.26772,84.0846,24.47099886,61.50713818,85.97813704,5.952,0.0754,-1.2283,-1.26772,-0.637504,0.7098309,-0.5287036,-0.0437587,-1.064786,4.00E-04,0.914119115,0.899915887,0.971675688,0.92857023,8.3198
844,TKM2009,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2009,NA,1,0,2.5604,82.6026,8.0009,8.0009,NA,NA,NA,NA,NA,NA,66.355,NA,1.95,48.172,65.96534233,-1.470047,NA,47.08302234,57.86915693,104.9521793,13.192,0.0941,-1.4212,-1.470047,-0.4414168,0.9816548,0.2624594,-0.1908458,-1.310056,-0.0015,NA,NA,NA,NA,93.1639
845,TLS2009,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2009,NA,1,0,NA,NA,NA,NA,533.6104106,3362.877141,216.6395168,NA,NA,NA,66.796,NA,2,27.389,52.99703894,-1.186103,61.21803,98.80074384,57.51122765,156.3119715,3.292,0.0209,-1.2323,-1.186103,-0.5997655,-0.027411,-0.4562209,-0.7496305,-0.7648872,0.0058,NA,NA,NA,NA,NA
846,TON2009,Tonga,TON,East Asia & Pacific,Upper middle income,2009,NA,1,0,0.1114,0.0016,0.0945,0.0945,NA,59.34496345,60.27689777,0.001567765,2.70E-05,NA,69.982,NA,10,23.335,56.60506305,-0.0890908,102.51467,13.37492465,63.34216395,76.7170886,4.974,0.1655,-0.0302,-0.0890908,-0.5108247,0.2239117,0.5135867,0.4706649,-0.1373532,0.0099,0.970591437,0.99881796,NA,NA,0.2075
847,TTO2009,Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2009,1.046477675,0.989,-0.021,3.1497,37.595,0.5905,0.5905,9101.523283,12151.64202,87.25379669,0.006767614,0.003093821,0.000346063,71.71,NA,44.3,54.213,71.14502661,-0.1783881,NA,NA,NA,NA,7.17,0.3645,-0.2308,-0.1783881,-0.3722745,0.2424849,0.5625134,0.9166039,0.2677224,0.0353,0.873051255,0.864554751,0.965019848,0.900875285,41.3352
848,TUN2009,Tunisia,TUN,Middle East & North Africa,Lower middle income,2009,1.041338801,1.048,0.003,1.9572,28.0346,3.6565,3.6565,23777.9796,12122.55764,3651.785268,0.001001291,0.002312598,8.23E-05,74.88,557,34.07,66.376,68.95303056,0.1295527,90.59868,45.03981103,47.97706775,93.01687878,7.856,0.2291,0.1997,0.1295527,0.0384098,-0.0452595,0.0043068,0.279389,-0.0119443,0.0149,0.981217511,0.89875613,0.992388108,0.957453916,33.6483
849,TUR2009,Turkey,TUR,Europe & Central Asia,Upper middle income,2009,0.941325605,0.954,-0.067,38.5618,293.2395,10.6336,10.6336,399000,170000,64709.20122,0.000164329,0.001727295,9.68E-05,74.074,2732,36.4,70.241,65.67709223,0.1048895,80.04035,22.57367256,23.35880176,45.93247432,6.796,0.4781,0.1026,0.1048895,0.1419355,-0.0464609,0.4600002,0.6644945,0.0829908,0.0111,0.996917472,0.924380273,0.990883576,0.970727107,342.4349
850,TUV2009,Tuvalu,TUV,East Asia & Pacific,Upper middle income,2009,NA,1,0,NA,NA,NA,NA,NA,3.033489229,7.440225878,NA,NA,NA,NA,NA,20,53.782,NA,1.022784,NA,NA,NA,NA,5.944,0.3619,1.0433,1.022784,-0.5080286,0.2964866,0.2025154,-0.0494038,0.3704918,0.0099,NA,NA,NA,NA,NA
851,TZA2009,Tanzania,TZA,Sub-Saharan Africa,Low income,2009,1.018862486,1.007,-0.003,4.7155,17.2442,144.5736,144.5736,12859.19118,6907.809271,7935.987593,0.018217468,0.002496334,0.000366703,57.666,3,2.4,27.439,52.64287595,-0.4803365,NA,18.19426583,25.33833481,43.53260064,0.536,0.1038,-0.4752,-0.4803365,-0.4534949,-1.162016,-0.2915121,-1.1006,-0.2399177,0.00035,0.658271777,0.890712301,0.962878225,0.837287434,166.5333
852,UGA2009,Uganda,UGA,Sub-Saharan Africa,Low income,2009,NA,1.053536,-0.0154506,0.411,0.333,39.5638,39.5638,9143.575479,3392.359541,5147.931964,0.007685377,9.82E-05,4.49E-05,56.06,NA,9.78,18.878,48.85313776,-0.4143902,NA,17.26797922,29.47677054,46.74474976,1.99,0.0836,-0.418,-0.4143902,-0.4829687,-1.033613,-0.0307929,-0.9087496,-0.485552,1.00E-04,0.855835607,0.995700875,0.996268762,0.949268414,40.3078
853,UKR2009,Ukraine,UKR,Europe & Central Asia,Lower middle income,2009,0.980541945,0.893,-0.13,10.3134,320.9886,5.5209,5.5209,72632.98372,32143.15278,10263.08899,0.000537937,0.00998622,0.000141993,69.19,4814,17.9,68.502,70.12754862,-0.7587808,95.3182,43.91311781,45.95322066,89.86633847,26.914,0.2292,-0.7737,-0.7587808,-0.0354347,1.870083,0.1733279,0.8419225,-0.4786313,0.0208,0.989909231,0.562810502,0.986194314,0.846304682,336.8229
854,URY2009,Uruguay,URY,Latin America & Caribbean,High income,2009,0.958248317,0.95,0.03,3.2779,8.788,5.5881,5.5881,21812.86765,9076.730954,2944.187489,0.001898011,0.00096819,0.000150274,76.603,780,41.8,94.209,63.59012036,0.7180718,90.19233,27.09921576,26.29520351,53.39441927,5.066,0.19,0.6781,0.7180718,-0.1551736,-0.2778834,0.1415057,0.7589346,0.9369713,0.0458,0.964396593,0.957613341,0.985335071,0.969115002,17.654
855,USA2009,United States,USA,North America,High income,2009,0.983632743,0.981,0,299.1343,5780.8406,-39.2168,0,11200000,2840000,161000,0,0.002033481,2.68E-05,78.3902439,456106,71,80.606,66.87808434,1.59849,NA,10.94887766,13.6926858,24.64156346,30.322,0.8793,1.5754,1.59849,3.120363,2.333889,2.38335,2.033859,1.405114,0.2887,1,0.910975671,0.998146832,0.969707501,6040.7581
856,UZB2009,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2009,NA,1,0,4.8778,191.422,20.7416,20.7416,15838.31183,8380.316883,12679.77248,0.001635802,0.022841857,0.000307975,69.435,412,11.9,50.472,65.74327325,-1.321667,89.47305,34.66263094,34.01051126,68.6731422,5.952,0.2035,-1.2703,-1.321667,-0.5562713,0.8220574,-0.0328218,0.1795309,-1.220419,0.0035,0.969315181,0,0.968971889,0.64609569,217.0414
857,VCT2009,St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2009,NA,1,0,0.0501,0.0018,-0.0045,0,431.9727182,117.2850416,50.39471112,0,1.53E-05,0.00011598,71.716,NA,31,48.569,65.58866715,0.8924664,110.54023,28.49330241,57.49454793,85.98785034,12.912,0.2255,0.8826,0.8924664,-0.6214936,0.6041516,0.3024986,0.574659,1.002022,0.0035,1,0.999330177,0.988893444,0.99607454,0.0474
858,VEN2009,"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2009,0.979690015,1.035,-0.055,10.8205,228.7618,148.9269,148.9269,154000,197000,20942.51321,0.007111224,0.001161499,7.05E-05,73.116,2111,32.7,88.057,64.3385866,-1.617913,82.70381,18.07151887,20.44941079,38.52092966,4.166,0.2029,-1.5985,-1.617913,-0.3426693,0.3717616,-0.3448646,0.5868439,-1.182192,0.0135,0.866605725,0.949150413,0.993612485,0.936456208,388.5092
859,VGB2009,British Virgin Islands,VGB,Latin America & Caribbean,High income,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,44.479,NA,NA,106.93833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,VIR2009,Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2009,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.61463415,NA,27.39650968,94.419,66.20493929,0.8631719,NA,254.9845349,252.0818463,507.0663812,6.314,0.36525,0.9015,0.8631719,-0.1983244,0.3000111,0.5704476,1.091222,0.8944489,0.0269,NA,NA,NA,NA,NA
861,VNM2009,Vietnam,VNM,East Asia & Pacific,Lower middle income,2009,NA,1.011742,-0.0118581,11.2924,161.122,49.1811,49.1811,46376.39624,41354.77596,21203.44739,0.002319486,0.003896092,0.000243495,74.745,2890,26.55,29.762,69.37452829,-0.5400582,NA,62.60888407,72.09743366,134.7063177,4.37,0.3807,-0.4731,-0.5400582,-0.5568043,0.3633566,0.3258528,0.188003,-0.4342657,0.0058,0.95649045,0.829431907,0.975662386,0.920528247,221.5955
862,VUT2009,Vanuatu,VUT,East Asia & Pacific,Lower middle income,2009,NA,1,0,0.1101,0.0046,0.2606,0.2606,NA,76.64063681,138.5693215,0.001880647,6.00E-05,NA,68.974,NA,7.5,24.286,57.86524906,0.3978992,NA,49.11009076,56.27696986,105.3870606,5.944,0.1876,0.4088,0.3978992,-0.5145528,-0.06836,-0.1774953,-0.2591139,0.3684563,0.0099,0.964722312,0.997373243,NA,NA,0.3753
863,WSM2009,Samoa,WSM,East Asia & Pacific,Upper middle income,2009,NA,1,0,0.1135,0.004,0.0982,0.0982,NA,114.7827363,70.8751671,0.001385535,3.48E-05,NA,71.412,NA,6,20.3,56.62400572,0.6391839,85.99013,30.07005257,51.53595331,81.60600588,5.944,0.1722,0.6459,0.6391839,-0.4841761,-0.0238879,0.2623701,0.0845894,0.4686452,0.0167,0.974009757,0.998476481,NA,NA,0.2157
864,XKX2009,Kosovo,XKX,Europe & Central Asia,Upper middle income,2009,NA,1,0,NA,NA,NA,NA,2587.30147,1347.846,782.188059,NA,NA,NA,69.64878049,NA,NA,NA,NA,-0.5977859,NA,17.07529594,51.95077086,69.0260668,12.636,0.1857,-0.631,-0.5977859,-0.4304502,0.7685364,0.4836628,0.0869608,-0.0903481,0.01595,NA,NA,NA,NA,NA
865,YEM2009,"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2009,NA,1.197787,-0.0326524,2.1156,24.8007,6.9929,6.9929,8116.445922,11587.07494,2416.345753,0.002893998,0.002140376,0.000260656,65.255,NA,9.96,31.194,54.07713735,-1.087096,NA,NA,NA,NA,1.6,0.1166,-1.0851,-1.087096,-0.5183333,-0.758101,-0.6413478,-0.7779658,-1.143665,9.00E-04,0.945713598,0.906295885,0.973881747,0.941963743,33.9092
866,ZAF2009,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2009,1.0065943,1.017,-0.028,28.8178,398.2124,31.9887,31.9887,224000,98155.68529,8987.985569,0.003559051,0.004056947,0.000128676,56.46,6735,10,61.687,65.4300945,0.1239867,92.5119,27.91188817,27.50637343,55.4182616,0.486,0.6366,0.0929,0.1239867,0.0368488,-0.0244855,1.333667,0.1930148,0.4014008,0.037,0.933238353,0.822389791,0.987576097,0.914401413,459.0189
867,ZMB2009,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2009,NA,0.9310721,0.0547876,2.0595,21.8121,89.455,89.455,9274.456672,6084.310146,2030.596694,0.044053553,0.003584975,0.000222062,54.13,18,6.31,38.861,50.58706533,-0.4755372,NA,29.25099767,26.87038329,56.12138096,1.046,0.0916,-0.4852,-0.4755372,-0.6549547,-1.191903,-1.021477,-0.7479305,-0.2606448,3.00E-04,0.173631463,0.843052384,0.977886291,0.664856713,113.3266
868,ZWE2009,Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2009,0.820093274,0.854,0.447,0.6553,12.4719,48.6464,48.6464,6033.609878,1678.653789,1079.235929,0.045074852,0.007429704,0.000108608,48.449,NA,4,33.378,55.46682964,-1.852296,NA,19.47749803,42.30093975,61.77843778,0.74,0.0922,-1.8418,-1.852296,-0.5059204,-0.2458678,-1.883028,-0.6034324,-1.543023,0.00295,0.154473658,0.674732926,0.989658369,0.606288318,61.7736
869,ABW2008,Aruba,ABW,Latin America & Caribbean,High income,2008,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.725,NA,52,43.783,69.44592435,0.8558134,94.64913,67.7045177,78.18477818,145.8892959,6.108,0.1708,0.8885,0.8558134,-0.2007648,0.2516409,0.1343101,0.8284557,1.28456,0.0341,NA,NA,NA,NA,NA
870,AFG2008,Afghanistan,AFG,South Asia,Low income,2008,NA,1,0,7.2081,0.2035,12.0283,12.0283,5550.42324,2974.343825,3070.642889,0.003917193,6.84E-05,0.001298658,59.93,NA,1.84,23.32,49.48568076,-1.86438,38.19398,26.94859147,73.12136638,100.0699579,5.426,0.2304,-1.9437,-1.86438,-0.6570576,-0.8197074,-0.4041094,-1.142343,-1.709111,5.00E-04,0.947676841,0.997394438,0.865015971,0.93669575,19.4399
871,AGO2008,Angola,AGO,Sub-Saharan Africa,Lower middle income,2008,0.947271943,1,0,2.9444,96.6334,78.5215,78.5215,30205.87155,44537.38024,4512.944417,0.017399173,0.002169715,9.75E-05,53.243,NA,1.9,58.282,50.54569505,-1.366982,21.28946,72.47502847,48.88967943,121.3647079,1.304,0.1373,-1.394,-1.366982,-0.5334257,-1.145448,-0.7298701,-0.9792225,-0.9888943,0.00065,0.767593861,0.91734902,0.990814072,0.891918984,178.0993
872,ALB2008,Albania,ALB,Europe & Central Asia,Upper middle income,2008,NA,0.9673302,0.0278809,0.6966,4.5524,2.3575,2.3575,4778.281503,2800.958718,1952.308504,0.001207545,0.001625301,0.000145785,75.912,NA,23.86,49.991,66.33378604,-0.5886946,84.12509,25.30241718,52.14933145,77.45174863,1.818,0.1998,-0.6353,-0.5886946,-0.4801564,-0.2515205,0.0372357,0.2081558,-0.0990338,0.0287,0.983870448,0.938087389,0.98575715,0.969238329,7.6065
873,AND2008,Andorra,AND,Europe & Central Asia,High income,2008,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.04,89.004,NA,1.196158,NA,NA,NA,NA,13.06,0.4421,1.2196,1.196158,-0.1366846,1.147485,0.9212567,1.200896,1.546453,0.0164,NA,NA,NA,NA,NA
874,ARE2008,United Arab Emirates,ARE,Middle East & North Africa,High income,2008,NA,1,0,61.88,183.6733,1.2032,1.2032,137000,159000,2490.759589,0.000483065,0.001156232,0.00045134,75.957,NA,63,83.387,85.01002964,0.4243076,NA,78.8678887,69.64565532,148.513544,11.158,0.5812,0.4859,0.4243076,0.3702815,0.4223828,1.031703,1.230858,0.6158057,0.1629,0.993547551,0.955955641,0.953756166,0.967753119,246.7565
875,ARG2008,Argentina,ARG,Latin America & Caribbean,Upper middle income,2008,0.993805766,0.92,-0.013,19.8523,203.9722,187.9418,187.9418,208000,105000,29303.59259,0.00641361,0.001940633,9.55E-05,74.952,5582,28.11262348,90.53,63.42378873,-0.6766081,93.23705,22.06090038,18.341773,40.40267338,3.608,0.3818,-0.7014,-0.6766081,-0.1988589,-0.1845767,0.0311419,0.6780773,-0.1992706,0.0305,0.914331426,0.926075444,0.991023533,0.943810134,411.7663
876,ARM2008,Armenia,ARM,Europe & Central Asia,Upper middle income,2008,1.146364331,1.155,0.018,0.8004,6.5238,2.178,2.178,NA,NA,NA,NA,NA,NA,72.946,230,6.21,63.64,68.59883245,-0.3405266,94.97048,15.0471063,40.65575862,55.70286492,14.064,0.1463,-0.2917,-0.3405266,-0.3818562,1.146052,0.3476191,0.3785283,-0.1669902,0.0167,NA,NA,NA,NA,9.5022
877,ASM2008,American Samoa,ASM,East Asia & Pacific,Upper middle income,2008,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.799,NA,1.127511,NA,113.8543517,133.9253996,247.7797513,20.27,0.7922,1.1621,1.127511,2.233978,1.359986,1.907695,0.2344408,0.8833572,0.3686,NA,NA,NA,NA,NA
878,ATG2008,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2008,NA,1,0,0.1457,0.267,0.0415,0.0415,958.5155717,267.3810352,21.47428548,0.001932544,0.000998575,0.000152006,75.535,NA,38,27.405,67.55506634,0.946843,118.12705,45.69968451,69.58391494,115.2835995,6.108,0.304,0.9656,0.946843,-0.2655402,0.1483319,0.535315,1.164447,0.959141,0.0341,0.974186412,0.961961271,0.985105621,0.973751101,0.4542
879,AUS2008,Australia,AUS,East Asia & Pacific,High income,2008,0.997274935,0.999,-0.009,25.9782,440.8165,147.6846,147.6846,724000,281000,21674.5948,0.006813719,0.001570687,3.59E-05,81.39512195,26346,71.67,84.943,67.68373866,1.770851,NA,20.16167323,22.70865946,42.87033269,22.896,0.8832,1.7538,1.770851,3.078544,2.106347,2.11364,1.991092,1.828803,0.2337,0.908987046,0.940167801,0.997265482,0.948806776,614.4793
880,AUT2008,Austria,AUT,Europe & Central Asia,High income,2008,1.016867161,1.018,-0.007,4.1885,76.7883,11.3233,11.3233,243000,109000,5602.313349,0.002021183,0.000703608,1.72E-05,80.43170732,2627,72.87,57.966,67.6229858,1.922995,99.42073,53.24886062,48.82482212,102.0736827,10.986,0.714,1.9268,1.922995,2.098177,1.265586,1.871472,1.686153,1.863071,0.0614,0.973002433,0.973197452,0.999223946,0.981807944,92.3001
881,AZE2008,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2008,NA,1,0,3.6443,54.3624,6.745,6.745,12663.49461,27617.69432,2897.559597,0.002327821,0.00196839,0.00028778,70.201,233,17.08,52.99,69.88769845,-0.8324519,NA,65.77613785,23.46675902,89.24289687,12.277,0.1412,-0.7602,-0.8324519,-0.5275677,0.5208979,0.0236761,0.0763733,-0.6728811,0.0054,0.968906574,0.925018096,0.970885917,0.954936862,64.7517
882,BDI2008,Burundi,BDI,Sub-Saharan Africa,Low income,2008,0.905864179,0.683,0.093,0.3237,0.0246,5.5657,5.5657,673.7478079,282.8843659,777.6965219,0.007156648,8.70E-05,0.000480447,55.721,NA,0.81,10.118,52.10599129,-1.023133,NA,10.50000026,36.69999932,47.19999958,0.508,0.0848,-1.044,-1.023133,-0.6025946,-0.9866378,-0.5203109,-0.7708858,-1.042152,5.00E-04,0.904406437,0.996685908,0.95070777,0.950600038,5.914
883,BEL2008,Belgium,BEL,Europe & Central Asia,High income,2008,1.003248811,1.028,-0.016,37.59,121.3969,8.5116,8.5116,322000,101000,3540.62953,0.002403979,0.001202771,0.000116835,79.6804878,708,66,97.555,65.76525793,1.345495,158.74341,80.88061998,80.20782782,161.0884478,19.39,0.6955,1.3275,1.345495,1.647625,1.789405,1.645352,1.600368,1.424373,0.0148,0.967889308,0.95418283,0.988789104,0.970287081,167.4985
884,BEN2008,Benin,BEN,Sub-Saharan Africa,Low income,2008,1.032037854,1.058,0.013,0.291,5.7215,15.4327,15.4327,2952.810276,1491.859358,1544.455869,0.009992322,0.003835147,9.86E-05,58.654,NA,1.85,42.069,52.62833824,-0.5339108,NA,22.85463824,33.6432798,56.49791804,1.862,0.0986,-0.5648,-0.5339108,-0.5235383,-0.8632897,-0.5010047,-0.8833659,-0.1348031,8.00E-04,0.866529462,0.853907699,0.990698868,0.90371201,21.4452
885,BFA2008,Burkina Faso,BFA,Sub-Saharan Africa,Low income,2008,1.007763743,1.003,0.011,0.6424,0.0337,29.878,29.878,3157.03426,1561.883288,2885.960466,0.010352879,2.16E-05,0.000203482,55.618,NA,0.92,23.534,51.05040428,-0.3448814,18.91509,9.967296937,26.34324155,36.31053849,1.304,0.0651,-0.3368,-0.3448814,-0.5778098,-0.9696046,-0.85164,-0.9180661,-0.1516727,0.00045,0.861713391,0.999177191,0.979714504,0.946868362,30.5541
886,BGD2008,Bangladesh,BGD,South Asia,Lower middle income,2008,NA,1.013283,-0.0033324,18.4323,49.1367,104.9218,104.9218,55615.95287,25141.32055,17844.46757,0.005879794,0.00195442,0.000331421,69.072,338,2.5,28.968,62.42721667,-0.7501396,46.24112,17.65885848,24.96205555,42.62091403,3.02,0.2885,-0.7552,-0.7501396,-0.6505334,-0.875262,-0.3694205,-0.5505561,-0.7901046,5.00E-04,0.921461772,0.925550255,0.966315365,0.937775797,172.4908
887,BGR2008,Bulgaria,BGR,Europe & Central Asia,Upper middle income,2008,1.016269326,1.062,-0.032,5.9157,55.1295,-8.5467,0,27927.70803,13321.24716,2514.295016,0,0.004138464,0.000211822,72.96341463,271,39.67,71.622,68.88989986,-0.1072635,89.43396,52.54336762,72.30149033,124.844858,15.124,0.3825,-0.1594,-0.1072635,-0.1342088,1.014714,1.081042,0.9812616,0.3096996,0.0076,1,0.842353441,0.97884105,0.940398164,52.4985
888,BHR2008,Bahrain,BHR,Middle East & North Africa,High income,2008,1.066182852,1.08,-0.053,5.3407,28.0774,0.0398,0.0398,12372.01576,11292.65957,74.78723404,0.000532176,0.002486341,0.000431676,75.77,NA,51.95,88.53,75.99630733,0.5328768,91.79231,82.5774338,63.30522825,145.8826621,9.518,0.303,0.5668,0.5328768,-0.2325846,0.7203497,0.5310218,1.645125,0.278831,0.0707,0.99289156,0.905287782,0.95581559,0.951331644,33.4579
889,BHS2008,"Bahamas, The",BHS,Latin America & Caribbean,High income,2008,NA,1,0,0.1981,0.0386,0.2226,0.2226,8539.070173,816.502288,105.9427626,0.002101135,4.73E-05,2.32E-05,72.022,NA,31.54,82.343,66.53379151,1.195434,92.15828,39.49363481,47.93558807,87.42922288,6.108,0.4805,1.1887,1.195434,-0.3020251,0.0833326,0.8413356,0.9573999,1.295666,0.0385,0.971934489,0.998198201,0.998595562,0.989576084,0.4593
890,BIH2008,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2008,NA,1,0,1.4124,23.2567,2.0802,2.0802,9605.34047,3965.467234,1238.866178,0.001679116,0.005864807,0.000147043,75.665,71,34.66,44.92,69.75948193,-0.411505,NA,26.84806772,59.3148096,86.16287732,12.799,0.2369,-0.4088,-0.411505,-0.5782055,0.9443048,0.1494593,0.7929442,-0.2319472,0.0048,0.977571528,0.776591836,0.985625399,0.913262921,26.7493
891,BLR2008,Belarus,BLR,Europe & Central Asia,Upper middle income,2008,NA,1,0,6.2331,68.3303,-6.8358,0,22586.88885,19297.08656,4955.842494,0,0.003540965,0.000275961,70.45609756,1730,23,73.726,70.73980295,-1.062698,111.92559,60.93775522,68.66172333,129.5994786,12.799,0.1508,-1.0055,-1.062698,-0.0369671,1.067783,0.015617,1.077544,-0.7998694,0.0387,1,0.865113978,0.972123729,0.945745902,67.7276
892,BLZ2008,Belize,BLZ,Latin America & Caribbean,Upper middle income,2008,NA,1,0,7.7711,0.041,5.4403,5.4403,813.0389818,234.9834483,146.6721132,0.037091577,0.00017448,0.00955809,71.059,54,26.3,45.262,59.27423955,-0.2087325,74.79151,62.37125264,69.65296524,132.0242179,4.04,0.2471,-0.2185,-0.2087325,-0.4067979,0.1681769,0.1399844,0.1686562,-0.0144679,0.0435,0.504556325,0.993353531,0,0.499303285,13.2524
893,BMU2008,Bermuda,BMU,North America,High income,2008,NA,1,0,NA,NA,NA,NA,NA,538.6014654,45.6634163,NA,NA,NA,79.23658537,NA,82.3,100,NA,0.8558134,NA,NA,NA,NA,12.344,0,0.8885,0.8558134,0,0.5667229,0,0,1.245484,0.0341,NA,NA,NA,NA,NA
894,BOL2008,Bolivia,BOL,Latin America & Caribbean,Lower middle income,2008,1.008290291,1.012,0.015,1.9671,15.9697,112.0161,112.0161,7757.282716,5543.412677,1992.551931,0.056217406,0.002880843,0.000253581,66.937,NA,12.5,65.535,58.82186965,-0.9745278,85.01278,44.90655623,37.96046497,82.8670212,11.284,0.1706,-0.9975,-0.9745278,-0.4983056,0.417023,-0.258425,-0.3811555,-0.5246136,0.0073,0.249086707,0.890260013,0.974467602,0.704604774,129.9529
895,BRA2008,Brazil,BRA,Latin America & Caribbean,Upper middle income,2008,0.998834729,0.998,0.011,61.4071,431.8075,1202.8247,1202.8247,1170000,486000,88505.70185,0.013590364,0.000888326,5.25E-05,72.966,23170,33.83,83.749,67.6977274,-0.315275,96.72012,13.53400051,13.72356891,27.25756942,7.114,0.6168,-0.3647,-0.315275,0.1803036,0.021373,0.9685731,0.3340909,0.0922513,0.0231,0.818469301,0.966160987,0.995526952,0.92671908,1696.0393
896,BRB2008,Barbados,BRB,Latin America & Caribbean,High income,2008,0.999241173,1.003,-0.007,1.8797,0.1822,0.04,0.04,3345.868486,764.642454,60.9,0.000656814,0.000238281,0.000561797,78.184,85,61.4,32.256,67.16259564,1.308763,104.47984,48.63314893,53.6803272,102.3134761,1.128,0.3886,1.2674,1.308763,-0.1144094,-0.009155,0.7274005,1.128002,1.374138,0.0541,0.991226732,0.990923159,0.942187929,0.974779273,2.1019
897,BRN2008,Brunei Darussalam,BRN,East Asia & Pacific,High income,2008,NA,1,0,0.695,18.3919,2.1596,2.1596,4203.808361,9739.932087,100.9675101,0.021389059,0.001888299,0.000165326,74.494,75,46,74.252,70.0564808,0.4651492,96.01591,78.29923669,27.61460739,105.9138441,6.696,0.3233,0.509,0.4651492,-0.4136117,0.4735629,0.5166648,1.123334,0.6218032,0.0407,0.714299718,0.928069004,0.983710608,0.875359777,21.2465
898,BTN2008,Bhutan,BTN,South Asia,Lower middle income,2008,NA,1,0,0.0508,0.0905,-8.2709,0,454.7607066,582.8418511,221.0014644,0,0.000155274,0.000111707,67.325,NA,6.55,33.236,62.41794009,0.3841602,54.71617,50.00319474,59.40006779,109.4032625,5.665,0.1444,0.3601,0.3841602,-0.3480504,-0.3167866,0.1986467,-0.2622106,0.2346627,0.001,1,0.994085146,0.989326163,0.994470436,-8.1296
899,BWA2008,Botswana,BWA,Sub-Saharan Africa,Upper middle income,2008,1.118407845,1.153,0.009,0.3004,5.5077,21.1598,21.1598,6173.37587,4935.194054,282.6379976,0.074865376,0.001116005,4.87E-05,56.679,NA,6.25,59.444,61.23136979,0.6959755,79.91677,45.6739672,51.04194313,96.71591033,2.724,0.2205,0.6637,0.6959755,-0.4001482,0.1271117,0.3518428,0.0462954,0.8426748,9.00E-04,0,0.957488008,0.995924929,0.651137646,26.9679
900,CAF2008,Central African Republic,CAF,Sub-Saharan Africa,Low income,2008,0.957888424,0.96,0.015,3.0039,0.0157,35.7943,35.7943,NA,NA,NA,NA,NA,NA,46.161,NA,1,38.506,52.82533722,-1.414786,NA,11.0036647,23.43385711,34.43752181,1.282,0.0475,-1.4394,-1.414786,-0.5319265,-1.229849,-0.5189096,-1.016165,-1.242076,8.00E-04,NA,NA,NA,NA,38.8139
901,CAN2008,Canada,CAN,North America,High income,2008,0.989711404,1.008,-0.014,26.0041,649.0794,191.7465,191.7465,1040000,448000,22346.06403,0.008580773,0.001447587,2.51E-05,80.69512195,42089,76.7,80.578,69.47633483,1.80829,102.34444,34.48067454,32.70987215,67.19054669,26.8,0.8589,1.7991,1.80829,2.652838,2.147613,2.20331,2.454586,1.815776,0.2263,0.885383959,0.944857051,0.998396573,0.942879194,866.83
902,CHE2008,Switzerland,CHE,Europe & Central Asia,High income,2008,1.004724622,1.023,-0.001,4.7573,47.516,2.5677,2.5677,403000,152000,4132.684528,0.000621315,0.000313422,1.18E-05,81.99268293,2033,79.2,73.556,68.13834406,1.816634,95.88605,62.66117342,52.11823946,114.7794129,19.062,0.9781,1.8079,1.816634,3.061557,1.930685,2.379141,1.849855,1.938569,0.0461,0.991700903,0.988060812,0.999789491,0.993183736,54.841
